simple_annotation	CLASS	Sample	scan
AD170	ADENO	AD170T2_A5_8	CL2001032710AA
AD172	ADENO	AD172T2_A213_8	CL2001032709AA
AD172	ADENO	AD172T4_A252_10	CL2001040307AA
AD173	ADENO	AD173T1a_A23_1	CL2001032604AA
AD177	ADENO	AD177T1_A21_1	CL2001032601AA
AD178	ADENO	AD178T2_A22_1	CL2001032234AA
AD178	ADENO	AD178T3_A254_10	CL2001032002AA
AD179	ADENO	AD179T1_A214_8	CL2001032734AA
AD179	ADENO	AD179T2_A255_10	CL2001032249AA
AD18	ADENO	ADA18T1_A392_7	CL2001032301AA
AD183	ADENO	AD183T1_A6_8	CL2001032840AA
AD183	ADENO	AD183T1_A215_1	CL2001032117AA
AD185	ADENO	AD185T2_A232_8	CL2001032843AA
AD186	ADENO	AD186T1_A27_1	CL2001032125AA
AD187	ADENO	AD187T1_A11_1	CL2001032130AA
AD187	ADENO	AD187T2_A233_8	CL2001032743AA
AD188	ADENO	AD188T1_A216_8	CL2001032733AA
AD19	ADENO	ADA19T1_A393_7	CL2001032307AA
AD2	ADENO	ADA2T1_A384_7	CL2001032842AA
AD201	ADENO	AD201T1_A138_4	CL2001032141AA
AD202	ADENO	AD202T2_A139_4	CL2001032612AA
AD203	ADENO	AD203T1_A140_4	CL2001032025AA
AD203	ADENO	AD203T2_A141_4	CL2001032605AA
AD207	ADENO	AD207T1_A142_4	CL2001032026AA
AD208	ADENO	AD208T1_A143_4	CL2001032229AA
AD210	ADENO	AD210T1_A144_4	CL2001032628AA
AD212	ADENO	AD212T1_A145_4	CL2001032138AA
AD213	ADENO	AD213T1_A146_4	CL2001032309AA
AD218	ADENO	AD218T1_A147_4	CL2001032310AA
AD221	ADENO	AD221T1_A148_4	CL2001031615AA
AD224	ADENO	AD224T1_A149_4	CL2001032212AA
AD225	ADENO	AD225T1_A150_4	CL2001032647AA
AD226	ADENO	AD226T2_A151_4	CL2001031618AA
AD228	ADENO	AD228T2_A152_4	CL2001032312AA
AD228	ADENO	AD228T3_A256_10	CL2001032611AA
AD230	ADENO	AD230T1_A153_4	CL2001032142AA
AD232	ADENO	AD232T1_A154_4	CL2001032032AA
AD234	ADENO	AD234T1_A155_4	CL2001032308AA
AD236	ADENO	AD236T1_A156_4	CL2001032211AA
AD238	ADENO	AD238T2_A157_4	CL2001032620AA
AD239	ADENO	AD239T1_A158_4	CL2001032132AA
AD240	ADENO	AD240T1_A159_4	CL2001032616AA
AD241	ADENO	AD241T1_A160_4	CL2001032136AA
AD243	ADENO	AD243T1_A161_4	CL2001032318AA
AD243	ADENO	AD243T2_A257_10	CL2001032108AA
AD247	ADENO	AD247T1_A164_4	CL2001032027AA
AD249	ADENO	AD249T1_A165_4	CL2001032617AA
AD250	ADENO	AD250T1_A166_4	CL2001032031AA
AD252	ADENO	AD252T1_A167_4	CL2001032030AA
AD253	ADENO	AD253T1_A168_4	CL2001031616AA
AD255	ADENO	AD255T1_A169_4	CL2001032135AA
AD255	ADENO	AD255T1_A186_4	CL2001032216AA
AD255	ADENO	AD255T1_A178_4	CL2001032227AA
AD258	ADENO	AD258T1_A170_4	CL2001032646AA
AD258	ADENO	AD258T2_A258_10	CL2001031627AA
AD258	ADENO	AD258T1_A179_4	CL2001032714AA
AD258	ADENO	AD258T1_A187_4	CL2001032615AA
AD259	ADENO	AD259T1_A171_4	CL2001032213AA
AD260	ADENO	AD260T1_A172_4	CL2001032028AA
AD260	ADENO	AD260T1_A180_4	CL2001031613AA
AD261	ADENO	AD261T1_A173_4	CL2001032214AA
AD262	ADENO	AD262T1_A259_10	CL2001032315AA
AD262	ADENO	AD262T1_A339_6	CL2001031608AA
AD266	ADENO	AD266T1_A90_3	CL2001032013AA
AD267	ADENO	AD267T1_A91_3	CL2001032012AA
AD268	ADENO	AD268T1_A93_3	CL2001032645AA
AD268	ADENO	AD268T2_A262_10	CL2001032009AA
AD268	ADENO	AD268T2_A189_4	CL2001032633AA
AD269	ADENO	AD269T1_A94_3	CL2001031635AA
AD275	ADENO	AD275T1_A95_3	CL2001032311AA
AD276	ADENO	AD276T1_A96_3	CL2001032016AA
AD276	ADENO	AD276T2_A190_4	CL2001032133AA
AD277	ADENO	AD277T1_A97_3	CL2001032255AA
AD283	ADENO	AD283T1_A99_3	CL2001032254AA
AD285	ADENO	AD285T2_A263_10	CL2001032717AA
AD287	ADENO	AD287T1_A101_3	CL2001031636AA
AD294	ADENO	AD294T1_A104_3	CL2001032114AA
AD294	ADENO	AD294T2_A191_4	CL2001032634AA
AD295	ADENO	AD295T1_A105_3	CL2001032252AA
AD296	ADENO	AD296T1_A106_3	CL2001032623AA
AD296	ADENO	AD296T2_A264_10	CL2001032316AA
AD299	ADENO	AD299T1_A235_8	CL2001032742AA
AD299	ADENO	AD299T2_A236_8	CL2001032837AA
AD3	ADENO	ADA3T1_A385_7	CL2001031611AA
AD301	ADENO	AD301T1_A237_8	CL2001032741AA
AD301	ADENO	AD301T1_A265_10	CL2001032005AA
AD302	ADENO	AD302T3_A238_8	CL2001032838AA
AD302	ADENO	AD302T4_A239_8	CL2001032844AA
AD304	ADENO	AD304T1_A240_8	CL2001032746AA
AD305	ADENO	AD305T1_A415_7	CL2001032156AA
AD308	ADENO	AD308T1_A241_8	CL2001032706AA
AD309	ADENO	AD309T1_A242_8	CL2001041711AA
AD31	ADENO	ADA31_A289_10	CL2001032259AA
AD311	ADENO	AD311T1_A266_10	CL2001032257AA
AD311	ADENO	AD311T2_A267_10	CL2001032103AA
AD313	ADENO	AD313T1_A268_10	CL2001031628AA
AD314	ADENO	AD314T1_A269_10	CL2001032610AA
AD315	ADENO	AD315T1_A270_10	CL2001041716AA
AD317	ADENO	AD317T1_A271_10	CL2001032109AA
AD318	ADENO	AD318T3_A107_3	CL2001040306AA
AD320	ADENO	AD320T1_A272_10	CL2001040305AA
AD323	ADENO	AD323T1_A273_10	CL2001032110AA
AD327	ADENO	AD327T1_A276_10	CL2001031625AA
AD327	ADENO	AD327T3_A277_10	CL2001032713AA
AD330	ADENO	AD330T2_A279_10	CL2001032613AA
AD331	ADENO	AD331T1_A219_8	CL2001032846AA
AD332	ADENO	AD332T1_A220_8	CL2001032747AA
AD334	ADENO	AD334T1_A221_8	CL2001032707AA
AD334	ADENO	AD334T2_A280_10	CL2001032625AA
AD335	ADENO	AD335T1_A222_8	CL2001032737AA
AD335	ADENO	AD335T2_A281_10	CL2001032008AA
AD336	ADENO	AD336T1_A223_8	CL2001041708AA
AD337	ADENO	AD337T1_A224_8	CL2001032738AA
AD338	ADENO	AD338T1_A121_3	CL2001032115AA
AD338	ADENO	AD338T1_A130_3	CL2001032244AA
AD340	ADENO	AD340T1_A122_3	CL2001031634AA
AD340	ADENO	AD340T1_A131_3	CL2001032319AA
AD341	ADENO	AD341T1_A123_3	CL2001032321AA
AD341	ADENO	AD341T1_A132_3	CL2001031629AA
AD346	ADENO	AD346T1_A124_3	CL2001032011AA
AD346	ADENO	AD346T1_A133_3	CL2001032324AA
AD347	ADENO	AD347T1_A125_3	CL2001040314AA
AD347	ADENO	AD347T1_A134_3	CL2001032243AA
AD350	ADENO	AD350T1_A126_3	CL2001032111AA
AD350	ADENO	AD350T1_A135_3	CL2001032635AA
AD351	ADENO	AD351T1_A127_3	CL2001032113AA
AD352	ADENO	AD352T1_A128_3	CL2001031632AA
AD353	ADENO	AD353T1_A129_3	CL2001032857AA
AD355	ADENO	AD355T2_A174_4	CL2001032704AA
AD356	ADENO	AD356T1_A175_4	CL2001032034AA
AD360	ADENO	AD360T1_A176_4	CL2001032639AA
AD360	ADENO	AD360T2_A406_7	CL2001032036AA
AD361	ADENO	AD361T1_A177_4	CL2001032134AA
AD362	ADENO	AD362T1_A282_10	CL2001032602AA
AD363	ADENO	AD363T1_A283_10	CL2001032848AA
AD366	ADENO	AD366T1_A109_3	CL2001032116AA
AD367	ADENO	AD367T1_A110_3	CL2001032614AA
AD368	ADENO	AD368T2_A285_10	CL2001032314AA
AD370	ADENO	AD370T1_A112_3	CL2001032015AA
AD374	ADENO	AD374T1_A114_3	CL2001032248AA
AD375	ADENO	AD375T1_A115_3	CL2001032322AA
AD375	ADENO	AD375T2_A286_10	CL2001032313AA
AD379	ADENO	AD379T1_A116_3	CL2001032247AA
AD379	ADENO	AD379T2_A287_10	CL2001032104AA
AD382	ADENO	AD382T1_A117_3	CL2001040304AA
AD382	ADENO	AD382T3_A225_8	CL2001032836AA
AD383	ADENO	AD383T1_A118_3	CL2001031631AA
AD383	ADENO	AD383T2_A119_3	CL2001032606AA
AD384	ADENO	AD384T1_A120_3	CL2001032246AA
AD384	ADENO	AD384T2_A288_10	CL2001032105AA
AD4	ADENO	ADA4T1_A386_7	CL2001032155AA
AD5	ADENO	ADA5T1_A387_7	CL2001042505AA
AD7	ADENO	ADA7T1_A388_7	CL2001031612AA
COID10T1	CARCINOID	CD10T1_A347_6	CL2001032151AA
COID11T1	CARCINOID	CD11T1_A348_6	CL2001032847AA
COID12T1	CARCINOID	CD12T1_A349_6	CL2001032219AA
COID13T1	CARCINOID	CD13T1_A350_6	CL2001031609AA
COID1429	CARCINOID	CD1429_A303_5	CL2001032124AA
COID14T1	CARCINOID	CD14T1_A351_6	CL2001032152AA
COID16T1	CARCINOID	CD16T1_A352_6	CL2001032127AA
COID18T1	CARCINOID	CD18T1_A353_6	CL2001032722AA
COID2260	CARCINOID	CD2260_A304_5	CL2001032629AA
COID3580	CARCINOID	CD3580_A302_5	CL2001032630AA
COID3T1	CARCINOID	CD3T1_A340_6	CL2001032850AA
COID4385	CARCINOID	CD4385_A301_5	CL2001032860AA
COID4518	CARCINOID	CD4518_A305_5	CL2001032238AA
COID4T1	CARCINOID	CD4T1_A341_6	CL2001032044AA
COID5T1	CARCINOID	CD5T1_A342_6	CL2001042501AA
COID6T1	CARCINOID	CD6T1_A343_6	CL2001032101AA
COID7T1	CARCINOID	CD7T1_A344_6	CL2001032145AA
COID8T1	CARCINOID	CD8T1_A345_6	CL2001032854AA
COID9794	CARCINOID	CD9794_A300_5	CL2001032607AA
COID9T1	CARCINOID	CD9T1_A346_6	CL2001032210AA
NL1179	NORMAL	NL1179_A408_7	CL2001032147AA
NL1675	NORMAL	NL1675_A409_7	CL2001032206AA
NL1698	NORMAL	NL1698_A410_7	CL2001032718AA
NL1884	NORMAL	NL1884_A411_7	CL2001032041AA
NL2378	NORMAL	NL2378_A412_7	CL2001032128AA
NL2562	NORMAL	NL2562_A413_7	CL2001032202AA
NL268n1	NORMAL	NL268n1_A92_3	CL2001032256AA
NL279n1	NORMAL	NL279n1_A98_3	CL2001032010AA
NL3104	NORMAL	NL3104_A331_6	CL2001032727AA
NL3681	NORMAL	NL3681_A332_6	CL2001032102AA
NL4083	NORMAL	NL4083_A333_6	CL2001032046AA
NL4353	NORMAL	NL4353_A334_6	CL2001032043AA
NL504	NORMAL	NL504_A407_7	CL2001032304AA
NL6084	NORMAL	NL6084_A335_6	CL2001032045AA
NL6853	NORMAL	NL6853_A336_6	CL2001032725AA
NL6943	NORMAL	NL6943_A337_6	CL2001032220AA
NL7530	NORMAL	NL7530_A338_6	CL2001032724AA
SMCL301	SMALL_CELL	SMC301_A306_5	CL2001032632AA
SMCL3T1	SMALL_CELL	SMC3T1_A290_10	CL2001032260AA
SMCL4T1	SMALL_CELL	SMC4T1_A354_6	CL2001032217AA
SMCL5937	SMALL_CELL	SMC5937_A307_5	CL2001032121AA
SMCL8T1	SMALL_CELL	SMC8T1_A356_6	CL2001032720AA
SMCL9T1	SMALL_CELL	SMC9T1_A357_6	CL2001031607AA
SQ10T1	SQUAMOUS	SQ10T1_A362_6	CL2001032732AA
SQ1174	SQUAMOUS	SQ1174_A317_5	CL2001032129AA
SQ13T1	SQUAMOUS	SQ13T1_A364_6	CL2001032218AA
SQ14T1	SQUAMOUS	SQ14T1_A365_6	CL2001032207AA
SQ1670	SQUAMOUS	SQ1670_A318_5	CL2001032627AA
SQ20T1	SQUAMOUS	SQ20T1_A366_6	CL2001032144AA
SQ2557	SQUAMOUS	SQ2557_A320_5	CL2001032608AA
SQ2572	SQUAMOUS	SQ2572_A321_5	CL2001031620AA
SQ2921	SQUAMOUS	SQ2921_A322_5	CL2001032240AA
SQ3197	SQUAMOUS	SQ3197_A323_5	CL2001032231AA
SQ3529	SQUAMOUS	SQ3529_A324_5	CL2001032644AA
SQ3624	SQUAMOUS	SQ3624_A325_5	CL2001031621AA
SQ4172	SQUAMOUS	SQ4172_A326_5	CL2001032719AA
SQ4389	SQUAMOUS	SQ4389_A327_5	CL2001032122AA
SQ4T1	SQUAMOUS	SQ4T1_A358_6	CL2001032153AA
SQ5897	SQUAMOUS	SQ5897_A328_5	CL2001032239AA
SQ5T1	SQUAMOUS	SQ5T1_A359_6	CL2001032853AA
SQ6147	SQUAMOUS	SQ6147_A329_5	CL2001032222AA
SQ6T1	SQUAMOUS	SQ6T1_A360_6	CL2001031606AA
SQ7324	SQUAMOUS	SQ7324_A416_7	CL2001032305AA
SQ8T1	SQUAMOUS	SQ8T1_A361_6	CL2001032209AA
